id,nombre,unidad_aca,sede,dirreccion,barrio,comuna,telefono,fax,web,geometry
1,Facultad Latinoamericana de Ciencias Sociales,Rectorado,,Ayacucho 551,Balvanera,Comuna 3,4375-2435/5238-9339 (C)5238-9300,4375-1373,www.flacso.org.ar,POINT (-58.395440789173364 -34.60267847932716)
2,Instituto de Enseñanza Superior del Ejército,Escuela Superior Técnica,"""General de División Manuel Nicolás Savio""",Cabildo Av. 15,Palermo,Comuna 14,4779-3384/3302,4779-3384,www.iese.edu.ar,POINT (-58.43574212174931 -34.57459125776815)
3,Instituto de Enseñanza Superior del Ejército,Escuela Superior de Guerra,"""Teniente General Luís Maria Campos""","Campos, Luis M. Av. 480",Palermo,Comuna 14,4576-3692/93,4576-5592,www.escuelasuperiordeguerra.iese.edu,POINT (-58.4338256078276 -34.57213793362023)
4,Instituto Tecnológico de Buenos Aires,"Departamento de Desarrollo de Recursos - Departamento de Economía, Finanzas y Legales - Departamento de Ing. Electrónica y Electrotecnia - Departamento de Ing. En Informática - Departamento de Ing. Industrial - Departamento de Ing. Mecánica - Departa",,"Madero, Eduardo Av. 399",Puerto Madero,Comuna 1,6393-4800,6393-4800,www.itba.edu.ar,POINT (-58.36802261287482 -34.60333614770179)
5,Instituto Universitario Aeronáutico,Instituto Nacional de Derecho Aeronáutico y Espacial,,Viamonte 153,San Nicolas,Comuna 1,4514-4267,4514-4267,,POINT (-58.37033210946315 -34.599416484350236)
6,Instituto Universitario Aeronáutico,Escuela Superior de Guerra Aérea,,Zanni Pedro Comodoro 250,Retiro,Comuna 1,4317-6464,4317-6464,,POINT (-58.37038520153323 -34.58429848979401)
7,Instituto Universitario Aeronáutico,Unidad de Educación a Distancia en el Exterior,Centro de Gestión en Buenos Aires,"Belgrano Av. 1370, piso 12",Monserrat,Comuna 1,4382-3834 // 4382-3670/4146/4017,4382-3834,,POINT (-58.385603821238725 -34.6134837776707)
8,Instituto Universitario CEMIC,Escuela de Medicina - Instituto de Investigaciones - Rectorado,,Galvan 4102,Saavedra,Comuna 12,4546-8290/91 (C)4546-8200 / 4546-8228,4546-8274,www.cemic.edu.ar,POINT (-58.494680742817444 -34.55740721370954)
9,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,Facultad de Medicina - Rectorado,,Las Heras General Av. 2191,Recoleta,Comuna 2,4805-2607/ 4804-4723/ 4576-2350/1 y 2,4805-2607,www.barcelo.edu.ar,POINT (-58.39563458211244 -34.588621971534955)
10,Instituto Universitario de la Fundación ISALUD,Facultad de Administración y Economía - Facultad de Alimentos y Nutrición - Facultad de Ciencias Sociales - Facultad de Salud - Rectorado,,Republica Bolivariana De Venezuela 931,Monserrat,Comuna 1,5239-4000,5239-4020,www.isalud.org,POINT (-58.37945339122107 -34.61409867911991)
